CECO,DESCRIPCION_CECO,Año,Mes,NOMBRE_INDICADOR,INDICADOR
1358,CTRO INTERNAL DE CONVENCIONES,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,0100"
1358,CTRO INTERNAL DE CONVENCIONES,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,0100"
1385,C. HOSPITALARIO SERENA DEL MAR,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6600"
1385,C. HOSPITALARIO SERENA DEL MAR,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6000"
1385,C. HOSPITALARIO SERENA DEL MAR,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6100"
1392,OXO 69,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1392,OXO 69,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1392,OXO 69,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1393,OXO CARTAGENA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1393,OXO CARTAGENA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1393,OXO CARTAGENA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4200"
1409,GIMNASIO MODERNO -RESTAURACION,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,9600"
1409,GIMNASIO MODERNO -RESTAURACION,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,9600"
1409,GIMNASIO MODERNO -RESTAURACION,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,9600"
1411,EDIFICIO CALLE 119,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1411,EDIFICIO CALLE 119,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1411,EDIFICIO CALLE 119,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1412,ACQUA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6500"
1412,ACQUA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6500"
1412,ACQUA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6500"
1413,EDIFICIO 19.90,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,8800"
1413,EDIFICIO 19.90,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,8800"
1413,EDIFICIO 19.90,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,8800"
1416,HOTELES CITY,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"4,4500"
1416,HOTELES CITY,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"4,4500"
1416,HOTELES CITY,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"4,4500"
1428,ED.OF ACADEMICAS COL. RICHMOND,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1428,ED.OF ACADEMICAS COL. RICHMOND,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1428,ED.OF ACADEMICAS COL. RICHMOND,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,1700"
1434,HOTEL ESTELAR CARTAGENA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,3500"
1434,HOTEL ESTELAR CARTAGENA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,3500"
1434,HOTEL ESTELAR CARTAGENA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,3500"
1438,TIENDAS DE CONVENIENCIA TERPEL,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"41,6500"
1438,TIENDAS DE CONVENIENCIA TERPEL,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"41,6500"
1438,TIENDAS DE CONVENIENCIA TERPEL,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"41,6500"
1439,PLAZA CENTRAL CENTRO COMERCIAL,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6400"
1439,PLAZA CENTRAL CENTRO COMERCIAL,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6400"
1439,PLAZA CENTRAL CENTRO COMERCIAL,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6400"
1441,PQ CIENTIF INNOVA SOCIAL EDA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4300"
1441,PQ CIENTIF INNOVA SOCIAL EDA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4300"
1441,PQ CIENTIF INNOVA SOCIAL EDA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4300"
1443,HOTEL ESTELAR VILLAVICENCIO,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1443,HOTEL ESTELAR VILLAVICENCIO,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1443,HOTEL ESTELAR VILLAVICENCIO,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1444,PROYECTO T7 Y T8,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,3200"
1444,PROYECTO T7 Y T8,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,3200"
1444,PROYECTO T7 Y T8,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,3200"
1452,CASAS SANTA BARBARA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,8000"
1452,CASAS SANTA BARBARA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,8000"
1452,CASAS SANTA BARBARA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,8000"
1453,FABRICA 2 FONADE,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,0300"
1453,FABRICA 2 FONADE,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,0300"
1453,FABRICA 2 FONADE,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,0300"
1455,TORRE 4 U. CATOLICA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,9300"
1455,TORRE 4 U. CATOLICA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,9300"
1455,TORRE 4 U. CATOLICA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,9300"
1461,C CORPORATIVO SERENA DEL MAR,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,2300"
1461,C CORPORATIVO SERENA DEL MAR,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,3200"
1461,C CORPORATIVO SERENA DEL MAR,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,3200"
1464,HOTEL YOPAL - INT. ITINERANTE,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"60,5000"
1464,HOTEL YOPAL - INT. ITINERANTE,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"60,5000"
1464,HOTEL YOPAL - INT. ITINERANTE,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"60,5000"
1468,C. CIAL MALL PLAZA MANIZALES,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,4700"
1468,C. CIAL MALL PLAZA MANIZALES,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,4700"
1468,C. CIAL MALL PLAZA MANIZALES,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,4700"
1472,HOTEL ESTELAR CARTAGENA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,7500"
1472,HOTEL ESTELAR CARTAGENA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,7500"
1472,HOTEL ESTELAR CARTAGENA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,7500"
1475,IROTAMA RESERVADO,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1475,IROTAMA RESERVADO,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1475,IROTAMA RESERVADO,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1476,MASSILIA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,1200"
1476,MASSILIA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,1200"
1476,MASSILIA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,1200"
1487,COLEGIO INDIGENA UBAMUX,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,2000"
1487,COLEGIO INDIGENA UBAMUX,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,2000"
1487,COLEGIO INDIGENA UBAMUX,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,2000"
1494,INSTITUCION EDUC SIMON BOLIVAR,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,2200"
1494,INSTITUCION EDUC SIMON BOLIVAR,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,2200"
1494,INSTITUCION EDUC SIMON BOLIVAR,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,2200"
1506,FACUTLAD DE ARTES Y DISEÑO UJT,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,0700"
1506,FACUTLAD DE ARTES Y DISEÑO UJT,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,0700"
1506,FACUTLAD DE ARTES Y DISEÑO UJT,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,0700"
1507,REMODELACION CC METROPOLIS,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,9700"
1507,REMODELACION CC METROPOLIS,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,0500"
1507,REMODELACION CC METROPOLIS,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,0200"
1508,BODEGAS CELTA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,4800"
1508,BODEGAS CELTA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,4800"
1508,BODEGAS CELTA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,4800"
1510,IE LA SIERRA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1510,IE LA SIERRA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1510,IE LA SIERRA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,3300"
1515,BANCO REPUBLICA SAN ANDRES,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,6700"
1515,BANCO REPUBLICA SAN ANDRES,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,6700"
1515,BANCO REPUBLICA SAN ANDRES,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,6700"
1523,CLINICA LA SABANA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"2,3600"
1523,CLINICA LA SABANA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"2,3600"
1523,CLINICA LA SABANA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"2,3600"
